"year","grass","mode","relig"
"1972",NA,NA,"jewish"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"other"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"jewish"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"other"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"none"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"other"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"other"
"1972",NA,NA,"none"
"1972",NA,NA,"catholic"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"other"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"other"
"1972",NA,NA,"other"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"jewish"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"none"
"1972",NA,NA,"none"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"jewish"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"none"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"other"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"none"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"none"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"none"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"other"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"jewish"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"jewish"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"other"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"none"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"other"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"jewish"
"1972",NA,NA,"other"
"1972",NA,NA,"jewish"
"1972",NA,NA,"none"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"jewish"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"jewish"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"other"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"other"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"other"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"other"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"catholic"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"protestant"
"1972",NA,NA,"none"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
"1972",NA,NA,"catholic"
